source,target,tgt_lng,src_lng,ship_id,ship_type,nation,variant,zh_CN_standard,zh_CN_target,same_source_alternatives
リトル・ヘレナ,小海伦娜,zh-CN,ja,102191,轻巡,白鹰,,小海伦娜,小海伦娜,
リトル・レナウン,小声望,zh-CN,ja,204041,战巡,皇家,,小声望,小声望,
リノ,里诺,zh-CN,ja,102261,轻巡,白鹰,,里诺,里诺,
リベッチオ,西南风,zh-CN,ja,601051,驱逐,撒丁帝国,,西南风,西南风,
リュッツォウ,露西,zh-CN,ja,404041,战巡,铁血,,吕佐夫,露西,
リュー・リオン,琉·璃昂,zh-CN,ja,11400021,轻巡,联动阵营,,琉·璃昂,琉·璃昂,
リヨン,里昂,zh-CN,ja,805021,战列,自由鸢尾,,里昂,里昂,
リラ・ディザイアス,莉拉·德西亚斯,zh-CN,ja,10900041,重巡,联动阵营,,莉拉·德西亚斯,莉拉·德西亚斯,
リヴァプール,利物浦,zh-CN,ja,202341,轻巡,皇家,,利物浦,利物浦,
リヴェンジ,复仇,zh-CN,ja,205111,战列,皇家,,复仇,复仇,
ルイビル,路易斯维尔,zh-CN,ja,103271,重巡,白鹰,,路易斯维尔,路易斯维尔,
ルナ,露娜,zh-CN,ja,10600081,轻航,联动阵营,,露娜,露娜,
ルピニャート,倔强,zh-CN,ja,801041,驱逐,自由鸢尾,,倔强,倔强,
ルルティエ,露露缇耶,zh-CN,ja,10300031,轻巡,联动阵营,,露露缇耶,露露缇耶,
ル・アルディ,大胆,zh-CN,ja,801051,驱逐,自由鸢尾,,大胆,大胆,
ル・テメレール,鲁莽,zh-CN,ja,801031,驱逐,自由鸢尾,,鲁莽,鲁莽,
ル・テメレール(μ兵装),鲁莽(μ兵装),zh-CN,ja,801091,驱逐,自由鸢尾,μ兵装,鲁莽(μ兵装),鲁莽(μ兵装),
ル・テリブル,可怖,zh-CN,ja,801071,驱逐,自由鸢尾,,可怖,可怖,
ル・トリオンファン,凯旋,zh-CN,ja,801011,驱逐,自由鸢尾,,凯旋,凯旋,
ル・マラン,恶毒,zh-CN,ja,901111,驱逐,维希教廷,,恶毒,恶毒,
ル・マラン(μ兵装),恶毒(μ兵装),zh-CN,ja,901121,驱逐,维希教廷,μ兵装,恶毒(μ兵装),恶毒(μ兵装),
ル・マルス,勒马尔,zh-CN,ja,901011,驱逐,维希教廷,,勒马尔,勒马尔,
レオナルド・ダ・ヴィンチ,莱昂纳多·达·芬奇,zh-CN,ja,608021,潜艇,撒丁帝国,,莱昂纳多·达·芬奇,莱昂纳多·达·芬奇,
レキシントン,列克星敦,zh-CN,ja,107021,正航,白鹰,,列克星敦,列克星敦,
レキシントンⅡ,列克星敦II,zh-CN,ja,107161,正航,白鹰,II型,列克星敦II,列克星敦II,
レナウン,声望,zh-CN,ja,204011,战巡,皇家,,声望,声望,
レパルス,反击,zh-CN,ja,204021,战巡,皇家,,反击,反击,
レンジャー,突击者,zh-CN,ja,107041,轻航,白鹰,,突击者,突击者,
レーゲンスブルク,瑞吉娜,zh-CN,ja,402101,轻巡,铁血,,雷根斯堡,瑞吉娜,
レーゲンスブルク(META),瑞吉娜·META,zh-CN,ja,9702111,轻巡,META,META,雷根斯堡·META,瑞吉娜·META,
ロイヤル・オーク,皇家橡树,zh-CN,ja,205141,战列,皇家,,皇家橡树,皇家橡树,
ロイヤル・ジェームズ,皇家詹姆斯号,zh-CN,ja,9600151,风帆,飓风船团,,皇家詹姆斯号,皇家詹姆斯号,
ロイヤル・フォーチュン,皇家财富号,zh-CN,ja,900405,风帆,飓风船团,,皇家财富号,皇家财富号,
ロドニー,罗德尼,zh-CN,ja,205041,战列,皇家,,罗德尼,罗德尼,
ロドニー(META),罗德尼·META,zh-CN,ja,9705051,战列,META,META,罗德尼·META,罗德尼·META,
ロング・アイランド,长岛,zh-CN,ja,106011,轻航,白鹰,,长岛,长岛,
ロンドン,伦敦,zh-CN,ja,203011,重巡,皇家,,伦敦,伦敦,
ローグカイゼルグリッドマン,狂战帝王古立特,zh-CN,ja,900808,轻巡,联动阵营,,狂战帝王古立特,狂战帝王古立特,
ローダシュー,果敢,zh-CN,ja,900444,驱逐,维希教廷,,果敢,果敢,
ローマ,罗马,zh-CN,ja,605031,战列,撒丁帝国,,罗马,罗马,
ローリー,罗利,zh-CN,ja,102021,轻巡,白鹰,,罗利,罗利,
ローン,艾伯塔,zh-CN,ja,499011,重巡,铁血,,罗恩,艾伯塔,
ローン(μ兵装),艾伯塔(μ兵装),zh-CN,ja,403081,重巡,铁血,μ兵装,罗恩(μ兵装),艾伯塔(μ兵装),
ワシントン,华盛顿,zh-CN,ja,105131,战列,白鹰,,华盛顿,华盛顿,
ワスプ,胡蜂,zh-CN,ja,107081,正航,白鹰,,胡蜂,胡蜂,
ヴァリアント,英勇,zh-CN,ja,205101,战列,皇家,,英勇,英勇,
ヴァンガード,前卫,zh-CN,ja,205131,战列,皇家,,前卫,前卫,
ヴァンパイア,吸血鬼,zh-CN,ja,201231,驱逐,皇家,,吸血鬼,吸血鬼,
ヴァンパイア(META),吸血鬼·META,zh-CN,ja,9701051,驱逐,META,META,吸血鬼·META,吸血鬼·META,
ヴィクトリアス,胜利,zh-CN,ja,207041,正航,皇家,,胜利,胜利,
ヴィットリオ・クニベルティ,维托里奥·库尼贝尔蒂,zh-CN,ja,699031,驱逐,撒丁帝国,,维托里奥·库尼贝尔蒂,维托里奥·库尼贝尔蒂,
ヴィットリオ・ヴェネト,维托里奥·维内托,zh-CN,ja,605011,战列,撒丁帝国,,维托里奥·维内托,维托里奥·维内托,
ヴィンセンス,文森斯,zh-CN,ja,103101,重巡,白鹰,,文森斯,文森斯,
ヴィンチェンツォ・ジョベルティ,文琴佐·焦贝蒂,zh-CN,ja,601031,驱逐,撒丁帝国,,文琴佐·焦贝蒂,文琴佐·焦贝蒂,
ヴェスタル,女灶神,zh-CN,ja,112011,维修,白鹰,,女灶神,女灶神,
ヴェスタル(META),女灶神·META,zh-CN,ja,9712011,维修,META,META,女灶神·META,女灶神·META,
ヴェーザー,威尔玛,zh-CN,ja,406011,轻航,铁血,,威悉,威尔玛,
ヴォルガ,伏尔加,zh-CN,ja,707011,正航,北方联合,,伏尔加,伏尔加,
ヴォロシーロフ,伏罗希洛夫,zh-CN,ja,702071,轻巡,北方联合,,伏罗希洛夫,伏罗希洛夫,
ヴォークラン,沃克兰,zh-CN,ja,901031,驱逐,维希教廷,,沃克兰,沃克兰,
三日月,檧,zh-CN,ja,301411,驱逐,重樱,,三日月,檧,
三浦あずさ,三浦 梓,zh-CN,ja,10700041,重巡,联动阵营,,三浦 梓,三浦 梓,
三笠,鲐,zh-CN,ja,305111,战列,重樱,,三笠,鲐,
三隈,狻,zh-CN,ja,302111,轻巡,重樱,,三隈,狻,
不知火,蒲,zh-CN,ja,301181,驱逐,重樱,,不知火,蒲,
五十鈴,貉,zh-CN,ja,302051,轻巡,重樱,,五十铃,貉,
伊13,十纱,zh-CN,ja,317011,潜母,重樱,,伊13,十纱,
伊168,伊吕波,zh-CN,ja,308061,潜艇,重樱,,伊168,伊吕波,
伊19,衣玖,zh-CN,ja,308011,潜艇,重樱,,伊19,衣玖,
伊25,双叶檎,zh-CN,ja,308041,潜艇,重樱,,伊25,双叶檎,
伊26,双叶梦,zh-CN,ja,308021,潜艇,重樱,,伊26,双叶梦,
伊404,诗玲寺,zh-CN,ja,317021,潜母,重樱,,伊404,诗玲寺,
伊56,冴梦,zh-CN,ja,308051,潜艇,重樱,,伊56,冴梦,
伊58,冴矢,zh-CN,ja,308031,潜艇,重樱,,伊58,冴矢,
伊勢,鳌,zh-CN,ja,305031,战列,重樱,,伊势,鳌,
伊吹,峦,zh-CN,ja,399011,重巡,重樱,,伊吹,峦,
信濃,鵗,zh-CN,ja,307081,正航,重樱,,信浓,鵗,
信濃ちゃん,小鵗,zh-CN,ja,307141,正航,重樱,,小信浓,小鵗,
八舞耶倶矢・八舞夕弦,八舞耶俱矢·八舞夕弦,zh-CN,ja,11500061,轻巡,联动阵营,,八舞耶俱矢·八舞夕弦,八舞耶俱矢·八舞夕弦,
出雲,侌,zh-CN,ja,399021,战列,重樱,,出云,侌,
初春,梅,zh-CN,ja,301211,驱逐,重樱,,初春,梅,
初月,檚,zh-CN,ja,301891,驱逐,重樱,,初月,檚,
初霜,檨,zh-CN,ja,301241,驱逐,重樱,,初霜,檨,
利根,猑,zh-CN,ja,900013,战列,铁血,,利根,猑,
加古,狌,zh-CN,ja,303021,重巡,重樱,,加古,狌,
加賀,鸾,zh-CN,ja,305071,战列,重樱,,加贺,鸾,
北風,苝,zh-CN,ja,399031,驱逐,重樱,,北风,苝,
千代田,鹃,zh-CN,ja,306091,轻航,重樱,,千代田,鹃,
千歳,鹂,zh-CN,ja,306081,轻航,重樱,,千岁,鹂,
南夢芽,南梦芽,zh-CN,ja,10800051,重巡,联动阵营,,南梦芽,南梦芽,
卯月,楙,zh-CN,ja,301351,驱逐,重樱,,卯月,楙,
双海亜美,双海亚美,zh-CN,ja,10700061,潜艇,联动阵营,,双海亚美,双海亚美,
古鷹,狼,zh-CN,ja,303011,重巡,重樱,,古鹰,狼,
名取,猽,zh-CN,ja,302061,轻巡,重樱,,名取,猽,
名寄,貀,zh-CN,ja,302291,轻巡,重樱,,名寄,貀,
吹雪,桐,zh-CN,ja,301011,驱逐,重樱,,吹雪,桐,
吾妻,猉,zh-CN,ja,399041,超巡,重樱,,吾妻,猉,
四万十,虒,zh-CN,ja,399061,轻巡,重樱,,四万十,虒,
土佐,䲠,zh-CN,ja,305081,战列,重樱,,土佐,䲠,
夏色まつり,夏色祭,zh-CN,ja,900802,驱逐,联动阵营,,夏色祭,夏色祭,
夕張,狐,zh-CN,ja,302011,轻巡,重樱,,夕张,狐,
夕暮,棭,zh-CN,ja,301261,驱逐,重樱,,夕暮,棭,
夕焼,夕烧,zh-CN,ja,11000071,重巡,联动阵营,,夕烧,夕烧,
夕立,椿,zh-CN,ja,301141,驱逐,重樱,,夕立,椿,
夕立(META),椿·META,zh-CN,ja,9701091,驱逐,META,META,夕立·META,椿·META,
大山,鳝,zh-CN,ja,399071,战列,重樱,,大山,鳝,
大潮,荙,zh-CN,ja,301641,驱逐,重樱,,大潮,荙,
大神ミオ,大神澪,zh-CN,ja,900806,正航,联动阵营,,大神澪,大神澪,
大鳳,鹩,zh-CN,ja,307071,正航,重樱,,大凤,鹩,
大鳳(META),鹩·META,zh-CN,ja,9707051,正航,META,META,大凤·META,鹩·META,
大鳳(μ兵装),鹩(μ兵装),zh-CN,ja,307111,正航,重樱,μ兵装,大凤(μ兵装),鹩(μ兵装),
大鳳ちゃん,小鹩,zh-CN,ja,307131,正航,重樱,,小大凤,小鹩,
天城,鳐,zh-CN,ja,304051,战巡,重樱,,天城,鳐,
天城(空母),鳐,zh-CN,ja,307151,正航,重樱,,天城,鳐,
天城ちゃん,小鳐,zh-CN,ja,304071,战巡,重樱,,小天城,小鳐,
如月,樟,zh-CN,ja,301331,驱逐,重樱,,如月,樟,
妙風,杪,zh-CN,ja,301921,驱逐,重樱,,妙风,杪,
妙高,獌,zh-CN,ja,303071,重巡,重樱,,妙高,獌,
宵月,楛,zh-CN,ja,301581,驱逐,重樱,,宵月,楛,
寧海,宁海,zh-CN,ja,502021,轻巡,东煌,,宁海,宁海,
尾張,鳂,zh-CN,ja,305131,战列,重樱,,尾张,鳂,
山城,鲼,zh-CN,ja,305021,战列,重樱,,山城,鲼,
山城(META),鲼·META,zh-CN,ja,9705021,战列,META,META,山城·META,鲼·META,
山風,杣,zh-CN,ja,301481,驱逐,重樱,,山风,杣,
島風,芒,zh-CN,ja,301291,驱逐,重樱,,岛风,芒,
川内,貆,zh-CN,ja,302121,轻巡,重樱,,川内,貆,
巻波,棬,zh-CN,ja,301801,驱逐,重樱,,卷波,棬,
応瑞,应瑞,zh-CN,ja,502041,轻巡,东煌,,应瑞,应瑞,
愛宕,犬,zh-CN,ja,303121,重巡,重樱,,爱宕,犬,
扶桑,魟,zh-CN,ja,305011,战列,重樱,,扶桑,魟,
扶桑(META),魟·META,zh-CN,ja,9705011,战列,META,META,扶桑·META,魟·META,
摩耶,犮,zh-CN,ja,303131,重巡,重樱,,摩耶,犮,
撫順,抚顺,zh-CN,ja,501021,驱逐,东煌,,抚顺,抚顺,
文月,橗,zh-CN,ja,301381,驱逐,重樱,,文月,橗,
斑鳩,斑鸠,zh-CN,ja,11000021,重巡,联动阵营,,斑鸠,斑鸠,
新月,枥,zh-CN,ja,301561,驱逐,重樱,,新月,枥,
新条アカネ,新条茜,zh-CN,ja,10800021,战列,联动阵营,,新条茜,新条茜,
旗風,樋,zh-CN,ja,301791,驱逐,重樱,,旗风,樋,
旗風(META),樋·META,zh-CN,ja,9701031,驱逐,META,META,旗风·META,樋·META,
日向,螯,zh-CN,ja,305041,战列,重樱,,日向,螯,
明石,茗,zh-CN,ja,312011,维修,重樱,,明石,茗,
春月,桸,zh-CN,ja,301571,驱逐,重樱,,春月,桸,
時崎狂三,时崎狂三,zh-CN,ja,11500051,轻巡,联动阵营,,时崎狂三,时崎狂三,
時雨,栴,zh-CN,ja,301151,驱逐,重樱,,时雨,栴,
暁,枫,zh-CN,ja,301091,驱逐,重樱,,晓,枫,
最上,猨,zh-CN,ja,302101,轻巡,重樱,,最上,猨,
有明,榎,zh-CN,ja,301251,驱逐,重樱,,有明,榎,
朝凪,桎,zh-CN,ja,301901,驱逐,重樱,,朝凪,桎,
朝潮,棹,zh-CN,ja,301631,驱逐,重樱,,朝潮,棹,
木津,貘,zh-CN,ja,302281,轻巡,重樱,,木津,貘,
松風,棡,zh-CN,ja,301311,驱逐,重樱,,松风,棡,
榛名,鲑,zh-CN,ja,304031,战巡,重樱,,榛名,鲑,
樫野,㭴,zh-CN,ja,319011,运输,重樱,,樫野,㭴,
武蔵,鳄,zh-CN,ja,305101,战列,重樱,,武藏,鳄,
比叡,鲟,zh-CN,ja,304021,战巡,重樱,,比叡,鲟,
比叡·META（前排）,鲟·META（前排）,zh-CN,ja,900450,超巡,META,META,比叡·META（前排）,鲟·META（前排）,
比叡ちゃん,小鲟,zh-CN,ja,304061,战巡,重樱,,小比叡,小鲟,
水瀬伊織,水濑伊织,zh-CN,ja,10700031,战列,联动阵营,,水濑伊织,水濑伊织,
水無月,杌,zh-CN,ja,301371,驱逐,重樱,,水无月,杌,
水無瀬,鼯,zh-CN,ja,302271,轻巡,重樱,,水无濑,鼯,
汎用型ブリ,泛用型布里,zh-CN,ja,100001,驱逐,通用,,泛用型布里,泛用型布里,
江風,茳,zh-CN,ja,301491,驱逐,重樱,,江风,茳,
江風(META),茳·META,zh-CN,ja,9701081,驱逐,META,META,江风·META,茳·META,
浅間,猏,zh-CN,ja,303201,重巡,重樱,,浅间,猏,
浜風,樇,zh-CN,ja,301611,驱逐,重樱,,滨风,樇,
浦波,朴,zh-CN,ja,301721,驱逐,重樱,,浦波,朴,
浦風,槆,zh-CN,ja,301591,驱逐,重樱,,浦风,槆,
海籌,海筹,zh-CN,ja,502121,轻巡,东煌,,海筹,海筹,
海風,菪,zh-CN,ja,301471,驱逐,重樱,,海风,菪,
涼月,栎,zh-CN,ja,301841,驱逐,重樱,,凉月,栎,
涼波,椋,zh-CN,ja,301911,驱逐,重樱,,凉波,椋,
深雪,梧,zh-CN,ja,301041,驱逐,重樱,,深雪,梧,
清波,棈,zh-CN,ja,301541,驱逐,重樱,,清波,棈,
済安,济安,zh-CN,ja,502091,轻巡,东煌,,济安,济安,
渡良瀬,獭,zh-CN,ja,302251,轻巡,重樱,,渡良濑,獭,
湊あくあ,湊阿库娅,zh-CN,ja,900807,潜艇,联动阵营,,湊阿库娅,湊阿库娅,
満潮,樠,zh-CN,ja,301651,驱逐,重樱,,满潮,樠,
焔,焰,zh-CN,ja,11000031,潜艇,联动阵营,,焰,焰,
熊野,猁,zh-CN,ja,303181,重巡,重樱,,熊野,猁,
特装型ブリMKⅢ,特装型布里MKIII,zh-CN,ja,100021,驱逐,通用,,特装型布里MKIII,特装型布里MKIII,
瑞鳳,鹳,zh-CN,ja,306041,轻航,重樱,,瑞凤,鹳,
瑞鶴,鹤,zh-CN,ja,307061,正航,重樱,,瑞鹤,鹤,
由良,㹨,zh-CN,ja,302071,轻巡,重樱,,由良,㹨,
白上フブキ,白上吹雪,zh-CN,ja,900801,驱逐,联动阵营,,白上吹雪,白上吹雪,
白雪,杉,zh-CN,ja,301021,驱逐,重樱,,白雪,杉,
白露,梿,zh-CN,ja,301131,驱逐,重樱,,白露,梿,
白鳳,䳆,zh-CN,ja,307161,正航,重樱,,白凤,䳆,
白龍,鹫,zh-CN,ja,399051,正航,重樱,,白龙,鹫,
百鬼あやめ,百鬼绫目,zh-CN,ja,900803,重巡,联动阵营,,百鬼绫目,百鬼绫目,
睦月,松,zh-CN,ja,301321,驱逐,重樱,,睦月,松,
磯風,柉,zh-CN,ja,301601,驱逐,重樱,,矶风,柉,
神通,貎,zh-CN,ja,302131,轻巡,重樱,,神通,貎,
神通·META,貎·META,zh-CN,ja,900458,轻巡,META,META,神通·META,貎·META,
神風,榊,zh-CN,ja,301301,驱逐,重樱,,神风,榊,
祥鳳,鹞,zh-CN,ja,306051,轻航,重樱,,祥凤,鹞,
筑摩,狘,zh-CN,ja,303061,重巡,重樱,,筑摩,狘,
紀伊,鲣,zh-CN,ja,305121,战列,重樱,,纪伊,鲣,
紫咲シオン,紫咲诗音,zh-CN,ja,900805,轻航,联动阵营,,紫咲诗音,紫咲诗音,
綾波,柚,zh-CN,ja,301051,驱逐,重樱,,绫波,柚,
綾瀬,狑,zh-CN,ja,302261,轻巡,重樱,,绫濑,狑,
羽黒,犰,zh-CN,ja,303101,重巡,重樱,,羽黑,犰,
翔鶴,鹬,zh-CN,ja,307051,正航,重樱,,翔鹤,鹬,
能代,貅,zh-CN,ja,302211,轻巡,重樱,,能代,貅,
能代(μ兵装),貅(μ兵装),zh-CN,ja,302241,轻巡,重樱,μ兵装,能代(μ兵装),貅(μ兵装),
花月,榵,zh-CN,ja,301821,驱逐,重樱,,花月,榵,
若月,若,zh-CN,ja,301881,驱逐,重樱,,若月,若,
若葉,楉,zh-CN,ja,301231,驱逐,重樱,,若叶,楉,
荒潮,栘,zh-CN,ja,301661,驱逐,重樱,,荒潮,栘,
華甲,华甲,zh-CN,ja,506021,轻航,东煌,,华甲,华甲,
葛城,鹖,zh-CN,ja,307121,正航,重樱,,葛城,鹖,
蒼龍,蛟,zh-CN,ja,307031,正航,重樱,,苍龙,蛟,
蒼龍(META),蛟·META,zh-CN,ja,9707031,正航,META,META,苍龙·META,蛟·META,
藤波,藤,zh-CN,ja,301941,驱逐,重樱,,藤波,藤,
虎賁,虎贲,zh-CN,ja,501061,驱逐,东煌,,虎贲,虎贲,
衣笠,猅,zh-CN,ja,303041,重巡,重樱,,衣笠,猅,
西連寺春菜,西连寺春菜,zh-CN,ja,900477,战巡,联动阵营,,西连寺春菜,西连寺春菜,
親潮,藮,zh-CN,ja,301281,驱逐,重樱,,亲潮,藮,
試作型ブリMKII,试作型布里MKII,zh-CN,ja,100011,驱逐,通用,II型,试作型布里MKII,试作型布里MKII,
谷風,栭,zh-CN,ja,301621,驱逐,重樱,,谷风,栭,
赤城,凰,zh-CN,ja,307011,正航,重樱,,赤城,凰,
赤城(μ兵装),凰(μ兵装),zh-CN,ja,307101,正航,重樱,μ兵装,赤城(μ兵装),凰(μ兵装),
赤城ちゃん,小凰,zh-CN,ja,307091,正航,重樱,,小赤城,小凰,
足柄,狳,zh-CN,ja,303091,重巡,重樱,,足柄,狳,
近江,鳉,zh-CN,ja,305161,战列,重樱,,近江,鳉,
追風,椎,zh-CN,ja,301851,驱逐,重樱,,追风,椎,
那智,狏,zh-CN,ja,303081,重巡,重樱,,那智,狏,
那珂,豻,zh-CN,ja,302141,轻巡,重樱,,那珂,豻,
酒匂,貄,zh-CN,ja,302231,轻巡,重樱,,酒匂,貄,
野分,苓,zh-CN,ja,301201,驱逐,重樱,,野分,苓,
金剛,鲤,zh-CN,ja,304011,战巡,重樱,,金刚,鲤,
金剛(μ兵装),鲤(μ兵装),zh-CN,ja,304081,战巡,重樱,μ兵装,金刚(μ兵装),鲤(μ兵装),
金色の闇,金色暗影,zh-CN,ja,900476,战列,联动阵营,,金色暗影,金色暗影,
鈴谷,狺,zh-CN,ja,303171,重巡,重樱,,铃谷,狺,
鎮海,镇海,zh-CN,ja,506011,轻航,东煌,,镇海,镇海,
長春,长春,zh-CN,ja,501031,驱逐,东煌,,长春,长春,
長月,枨,zh-CN,ja,301391,驱逐,重樱,,长月,枨,
長波,苌,zh-CN,ja,301831,驱逐,重樱,,长波,苌,
長良,貊,zh-CN,ja,302041,轻巡,重樱,,长良,貊,
長門,鲨,zh-CN,ja,305051,战列,重樱,,长门,鲨,
長風,长风,zh-CN,ja,501081,驱逐,东煌,,长风,长风,
长门·META,鲨·META,zh-CN,ja,900459,战列,META,META,长门·META,鲨·META,
阿武隈,貃,zh-CN,ja,302091,轻巡,重樱,,阿武隈,貃,
阿賀野,豼,zh-CN,ja,302201,轻巡,重樱,,阿贺野,豼,
陸奥,鲛,zh-CN,ja,305061,战列,重樱,,陆奥,鲛,
陽炎,萩,zh-CN,ja,301171,驱逐,重樱,,阳炎,萩,
隼鷹,鸢,zh-CN,ja,306021,轻航,重樱,,隼鹰,鸢,
隼鷹(META),鸢·META,zh-CN,ja,9706021,轻航,META,META,隼鹰·META,鸢·META,
雪不帰,雪不归,zh-CN,ja,11000051,战列,联动阵营,,雪不归,雪不归,
雪風,莲,zh-CN,ja,301161,驱逐,重樱,,雪风,莲,
雲仙,猃,zh-CN,ja,303191,重巡,重樱,,云仙,猃,
雲龍,靇,zh-CN,ja,307171,正航,重樱,,云龙,靇,
雷,梓,zh-CN,ja,301111,驱逐,重樱,,雷,梓,
電,柏,zh-CN,ja,301121,驱逐,重樱,,电,柏,
霞·META,蕸·META,zh-CN,ja,900457,驱逐,META,META,霞·META,蕸·META,
霞改,蕸.改,zh-CN,ja,301534,驱逐,重樱,,霞.改,蕸.改,
霧島,鳗,zh-CN,ja,304041,战巡,重樱,,雾岛,鳗,
青葉,犹,zh-CN,ja,303031,重巡,重樱,,青叶,犹,
響,栀,zh-CN,ja,301101,驱逐,重樱,,响,栀,
風雲,枟,zh-CN,ja,301861,驱逐,重樱,,风云,枟,
飛雲,飞云,zh-CN,ja,501071,驱逐,东煌,,飞云,飞云,
飛鳥,飞鸟,zh-CN,ja,11000011,轻巡,联动阵营,,飞鸟,飞鸟,
飛鳥川ちせ,飞鸟川千濑,zh-CN,ja,10800061,正航,联动阵营,,飞鸟川千濑,飞鸟川千濑,
飛鷹,鸱,zh-CN,ja,306011,轻航,重樱,,飞鹰,鸱,
飛鷹(META),鸱·META,zh-CN,ja,9706011,轻航,META,META,飞鹰·META,鸱·META,
飛龍,龙,zh-CN,ja,307041,正航,重樱,,飞龙,龙,
飛龍(META),龙·META,zh-CN,ja,900333,正航,META,META,飞龙·META,龙·META,
駿河,鲪,zh-CN,ja,305141,战列,重樱,,骏河,鲪,
高雄,獒,zh-CN,ja,303111,重巡,重樱,,高雄,獒,
鬼怒,猤,zh-CN,ja,302081,轻巡,重樱,,鬼怒,猤,
鳥海,猋,zh-CN,ja,303141,重巡,重樱,,鸟海,猋,
鳳翔,凤,zh-CN,ja,306031,轻航,重樱,,凤翔,凤,
鳳翔(META),凤·META,zh-CN,ja,9706041,轻航,META,META,凤翔·META,凤·META,
鳶一折紙,鸢一折纸,zh-CN,ja,11500021,正航,联动阵营,,鸢一折纸,鸢一折纸,
黒潮,蓉,zh-CN,ja,301271,驱逐,重樱,,黑潮,蓉,
龍武,龙武,zh-CN,ja,501051,驱逐,东煌,,龙武,龙武,
龍驤,枭,zh-CN,ja,306061,轻航,重樱,,龙骧,枭,
龍鳳,鸗,zh-CN,ja,306071,轻航,重樱,,龙凤,鸗,
2대,第二代,zh-CN,ko,10800081,航战,联动阵营,,第二代,第二代,
U-556·META,优可可洛·META,zh-CN,ko,9708011,潜艇,META,META,U-556·META,优可可洛·META,
가스코뉴,加斯科涅,zh-CN,ko,900399,战列,皇家,,加斯科涅,加斯科涅,
가스코뉴(μ장비),加斯科涅(μ兵装),zh-CN,ko,905031,战列,维希教廷,μ兵装,加斯科涅(μ兵装),加斯科涅(μ兵装),
갈라테아,加拉蒂亚,zh-CN,ko,202141,轻巡,皇家,,加拉蒂亚,加拉蒂亚,
강구트,甘古特,zh-CN,ko,705011,战列,北方联合,,甘古特,甘古特,
강구트·META,甘古特·META,zh-CN,ko,9705101,战列,META,META,甘古特·META,甘古特·META,
갤런트,勇气,zh-CN,ko,201391,驱逐,皇家,,勇气,勇气,
건스웨이,冈依沙瓦号,zh-CN,ko,900468,风帆,飓风船团,,冈依沙瓦号,冈依沙瓦号,
고리치아,戈里齐亚,zh-CN,ko,603061,重巡,撒丁帝国,,戈里齐亚,戈里齐亚,
골든 하인드,金鹿号,zh-CN,ko,900464,风帆,飓风船团,,金鹿号,金鹿号,
공주,公主,zh-CN,ko,10800091,运输,联动阵营,,公主,公主,
괌,关岛,zh-CN,ko,118021,超巡,白鹰,,关岛,关岛,
그나이제나우,奥古斯塔,zh-CN,ko,404021,战巡,铁血,,格奈森瑙,奥古斯塔,
그나이제나우·META,奥古斯塔·META,zh-CN,ko,900383,超巡,META,META,格奈森瑙·META,奥古斯塔·META,
그라프 체펠린,海拉伯爵,zh-CN,ko,407011,正航,铁血,,齐柏林伯爵,海拉伯爵,
그렌빌,格伦维尔,zh-CN,ko,201131,驱逐,皇家,,格伦维尔,格伦维尔,
그렌빌·META,格伦维尔·META,zh-CN,ko,9701071,驱逐,META,META,格伦维尔·META,格伦维尔·META,
그로즈니,威严,zh-CN,ko,701021,驱逐,北方联合,,威严,威严,
그롬키,洪亮,zh-CN,ko,701081,驱逐,北方联合,,洪亮,洪亮,
그리들리,格里德利,zh-CN,ko,101051,驱逐,白鹰,,格里德利,格里德利,
그리먀시,雷鸣,zh-CN,ko,701071,驱逐,北方联合,,雷鸣,雷鸣,
그린 하트,翡绿之心,zh-CN,ko,10100081,正航,联动阵营,,翡绿之心,翡绿之心,
글래스고,格拉斯哥,zh-CN,ko,202261,轻巡,皇家,,格拉斯哥,格拉斯哥,
글로리어스,光荣,zh-CN,ko,207061,正航,皇家,,光荣,光荣,
글로리어스·META,光荣·META,zh-CN,ko,9707071,正航,META,META,光荣·META,光荣·META,
글로스터,格罗斯特,zh-CN,ko,202101,轻巡,皇家,,格罗斯特,格罗斯特,
글로우웜,萤火虫,zh-CN,ko,201141,驱逐,皇家,,萤火虫,萤火虫,
금빛 어둠,金色暗影,zh-CN,ko,900476,战列,联动阵营,,金色暗影,金色暗影,
기샹,吉尚,zh-CN,ko,802031,轻巡,自由鸢尾,,吉尚,吉尚,
꼬마 그라프 체펠린,小海拉,zh-CN,ko,407021,正航,铁血,,小齐柏林,小海拉,
꼬마 다이호,小鹩,zh-CN,ko,307131,正航,重樱,,小大凤,小鹩,
꼬마 리나운,小声望,zh-CN,ko,204041,战巡,皇家,,小声望,小声望,
꼬마 벨파스트,小贝法,zh-CN,ko,202181,轻巡,皇家,,小贝法,小贝法,
꼬마 샌디에이고,小圣戴安娜,zh-CN,ko,102211,轻巡,白鹰,,小圣地亚哥,小圣戴安娜,
꼬마 슈피,小休贝塔,zh-CN,ko,403131,重巡,铁血,,小斯佩,小休贝塔,
꼬마 시나노,小鵗,zh-CN,ko,307141,正航,重樱,,小信浓,小鵗,
꼬마 아마기,小鳐,zh-CN,ko,304071,战巡,重樱,,小天城,小鳐,
꼬마 아카기,小凰,zh-CN,ko,307091,正航,重樱,,小赤城,小凰,
