source,target,tgt_lng,src_lng,ship_id,ship_type_zh,ship_type_en,nation_zh,nation_en,variant,zh_CN_form,zh_CN_standard,zh_CN_harmonised,same_source_alternatives
パーシュース,퍼시어스,ko-KR,ja-JP,206061,轻航,Light Carrier,皇家,Royal Navy,,,英仙座,,
パープルハート,퍼플 하트,ko-KR,ja-JP,10100051,轻巡,Light Cruiser,联动阵营,Collab,,,绀紫之心,,
パーミャチ・メルクーリヤ,파먀티 메르쿠리야,ko-KR,ja-JP,702021,轻巡,Light Cruiser,北方联合,Northern Parliament,,,水星纪念,,
パーミャチ・メルクーリヤ(META),파먀티 메르쿠리야·META,ko-KR,ja-JP,9702071,轻巡,Light Cruiser,META,META,META,,水星纪念·META,,
パール,펄,ko-KR,ja-JP,9600141,风帆,Sailing Frigate,飓风船团,Tempesta,,,珍珠号,,
ヒューストン,휴스턴,ko-KR,ja-JP,103051,重巡,Heavy Cruiser,白鹰,Eagle Union,,,休斯敦,,
ヒューストンⅡ,휴스턴Ⅱ,ko-KR,ja-JP,102311,轻巡,Light Cruiser,白鹰,Eagle Union,II型,,休斯敦II,,
ヒンデンブルク,힌덴부르크,ko-KR,ja-JP,499091,重巡,Heavy Cruiser,铁血,Iron Blood,,,兴登堡,希尔德加德,
ヒーロー,히어로,ko-KR,ja-JP,201361,驱逐,Destroyer,皇家,Royal Navy,,,英雄,,
ビスマルク,비스마르크,ko-KR,ja-JP,405011,战列,Battleship,铁血,Iron Blood,,,俾斯麦,奥德莉亚,
ビスマルクZwei,비스마르크 Zwei,ko-KR,ja-JP,405051,战列,Battleship,铁血,Iron Blood,,,俾斯麦Zwei,奥德莉亚Zwei,
ビロクシ,빌럭시,ko-KR,ja-JP,102251,轻巡,Light Cruiser,白鹰,Eagle Union,,,比洛克西,,
ビーグル,비글,ko-KR,ja-JP,201061,驱逐,Destroyer,皇家,Royal Navy,,,小猎兔犬,,
ピッツバーグ,피츠버그,ko-KR,ja-JP,103281,重巡,Heavy Cruiser,白鹰,Eagle Union,,,匹兹堡,,
ファンシー,팬시,ko-KR,ja-JP,9600081,风帆,Sailing Frigate,飓风船团,Tempesta,,,幻想号,,
ファーゴ,파고,ko-KR,ja-JP,102331,轻巡,Light Cruiser,白鹰,Eagle Union,,,法戈,,
フィジー,피지,ko-KR,ja-JP,202161,轻巡,Light Cruiser,皇家,Royal Navy,,,斐济,,
フィリックス・シュルツ,펠릭스 슐츠,ko-KR,ja-JP,499081,驱逐,Destroyer,铁血,Iron Blood,,,菲利克斯·舒尔茨,弗郎西斯卡·舒伯特,
フェニックス,피닉스,ko-KR,ja-JP,102041,轻巡,Light Cruiser,白鹰,Eagle Union,,,菲尼克斯,,
フォックスハウンド,폭스하운드,ko-KR,ja-JP,201111,驱逐,Destroyer,皇家,Royal Navy,,,狐提,,
フォッシュ,포슈,ko-KR,ja-JP,903011,重巡,Heavy Cruiser,维希教廷,Vichya Dominion,,,福煦,,
フォッシュ(META),포슈·META,ko-KR,ja-JP,9703031,重巡,Heavy Cruiser,META,META,META,,福煦·META,,
フォルバン,포르뱅,ko-KR,ja-JP,801021,驱逐,Destroyer,自由鸢尾,Iris Libre,,,福尔班,,
フォーチュン,포춘,ko-KR,ja-JP,201121,驱逐,Destroyer,皇家,Royal Navy,,,命运女神,,
フォーチュン(META),포춘·META,ko-KR,ja-JP,9701021,驱逐,Destroyer,META,META,META,,命运女神·META,,
フォーミダブル,포미더블,ko-KR,ja-JP,207051,正航,Aircraft Carrier,皇家,Royal Navy,,,可畏,,
フォーミダブル(μ兵装),포미더블(μ장비),ko-KR,ja-JP,207141,正航,Aircraft Carrier,皇家,Royal Navy,μ兵装,,可畏(μ兵装),,
フッド,후드,ko-KR,ja-JP,204031,战巡,Battlecruiser,皇家,Royal Navy,,,胡德,,
フミルィル,후미뤼르,ko-KR,ja-JP,10300061,正航,Aircraft Carrier,联动阵营,Collab,,,芙米露露,,
フラッシャー,플래셔,ko-KR,ja-JP,108081,潜艇,Submarine,白鹰,Eagle Union,,,松鲷,,
フランクリン,프랭클린,ko-KR,ja-JP,107131,正航,Aircraft Carrier,白鹰,Eagle Union,,,富兰克林,,
フランチェスコ・カラッチョロ,프란체스코 카라치올로,ko-KR,ja-JP,605091,战列,Battleship,撒丁帝国,Sardegna Empire,,,弗朗西斯科·卡拉乔洛,,
フランドル,플랑드르,ko-KR,ja-JP,900398,超巡,Large Cruiser,维希教廷,Vichya Dominion,,,弗兰德尔,,
フリッツ・ルメイ,프리츠 루메이,ko-KR,ja-JP,407041,正航,Aircraft Carrier,铁血,Iron Blood,,,弗里茨·鲁梅,菲莉西娅·鲁梅,
フリードリヒちゃん,꼬마 프리드리히,ko-KR,ja-JP,405061,战列,Battleship,铁血,Iron Blood,,,小腓特烈,小腓德雷卡,
フリードリヒ・カール,프리드리히 카를,ko-KR,ja-JP,403141,重巡,Heavy Cruiser,铁血,Iron Blood,,,腓特烈·卡尔,腓德雷卡·卡尔,
フリードリヒ・デア・グローセ,프리드리히 데어 그로세,ko-KR,ja-JP,499021,战列,Battleship,铁血,Iron Blood,,,腓特烈大帝,腓德雷卡大帝,
フルーレ,플뢰레,ko-KR,ja-JP,901051,驱逐,Destroyer,维希教廷,Vichya Dominion,,,花剑,,
フレッチャー,플레처,ko-KR,ja-JP,101091,驱逐,Destroyer,白鹰,Eagle Union,,,弗莱彻,,
フート,푸트,ko-KR,ja-JP,101141,驱逐,Destroyer,白鹰,Eagle Union,,,富特,,
ブッシュ,부시,ko-KR,ja-JP,101331,驱逐,Destroyer,白鹰,Eagle Union,,,布什,,
ブラックハート,블랙 하트,ko-KR,ja-JP,10100061,重巡,Heavy Cruiser,联动阵营,Collab,,,圣黑之心,,
ブラック・プリンス,블랙 프린스,ko-KR,ja-JP,202241,轻巡,Light Cruiser,皇家,Royal Navy,,,黑太子,,
ブラン,블랑,ko-KR,ja-JP,900076,驱逐,Destroyer,联动阵营,Collab,,,布兰,,
ブリストル,브리스톨,ko-KR,ja-JP,101491,驱逐,Destroyer,白鹰,Eagle Union,,,布里斯托尔,,
ブリュッヒャー,블뤼허,ko-KR,ja-JP,403021,重巡,Heavy Cruiser,铁血,Iron Blood,,,布吕歇尔,布丽吉特,
ブリュンヒルデ,브륀힐드,ko-KR,ja-JP,404051,战巡,Battlecruiser,铁血,Iron Blood,,,布伦希尔德,贝尔莎,
ブルックリン,브루클린,ko-KR,ja-JP,102031,轻巡,Light Cruiser,白鹰,Eagle Union,,,布鲁克林,,
ブルドッグ,불독,ko-KR,ja-JP,201071,驱逐,Destroyer,皇家,Royal Navy,,,大斗犬,,
ブルーギル,블루길,ko-KR,ja-JP,108041,潜艇,Submarine,白鹰,Eagle Union,,,蓝鳃鱼,,
ブレスト,브레스트,ko-KR,ja-JP,899031,超巡,Large Cruiser,自由鸢尾,Iris Libre,,,布雷斯特,,
ブレマートン,브레머튼,ko-KR,ja-JP,103241,重巡,Heavy Cruiser,白鹰,Eagle Union,,,布莱默顿,,
ブレンヌス,브렌누스,ko-KR,ja-JP,803021,重巡,Heavy Cruiser,自由鸢尾,Iris Libre,,,布伦努斯,,
プリマス,플리머스,ko-KR,ja-JP,299051,轻巡,Light Cruiser,皇家,Royal Navy,,,普利茅斯,,
プリンストン,프린스턴,ko-KR,ja-JP,107231,轻航,Light Carrier,白鹰,Eagle Union,,,普林斯顿,,
プリンストン(META),프린스턴·META,ko-KR,ja-JP,9706031,轻航,Light Carrier,META,META,META,,普林斯顿·META,,
プリンス・オブ・ウェールズ,프린스 오브 웨일즈,ko-KR,ja-JP,205061,战列,Battleship,皇家,Royal Navy,,,威尔士亲王,,
プリンツ・アーダルベルト,프린츠 아달베르트,ko-KR,ja-JP,403101,重巡,Heavy Cruiser,铁血,Iron Blood,,,阿达尔伯特亲王,阿德莉娅亲王,
プリンツ・オイゲン,프린츠 오이겐,ko-KR,ja-JP,403031,重巡,Heavy Cruiser,铁血,Iron Blood,,,欧根亲王,萨沃伊亲王,
プリンツ・オイゲン(μ兵装),프린츠 오이겐(μ장비),ko-KR,ja-JP,403151,重巡,Heavy Cruiser,铁血,Iron Blood,μ兵装,,欧根亲王(μ兵装),萨沃伊亲王(μ兵装),
プリンツ・オイゲンちゃん,꼬마 프린츠 오이겐,ko-KR,ja-JP,403121,重巡,Heavy Cruiser,铁血,Iron Blood,,,小欧根,小萨沃伊,
プリンツ・ハインリヒ,프린츠 하인리히,ko-KR,ja-JP,403091,重巡,Heavy Cruiser,铁血,Iron Blood,,,海因里希亲王,赫莉米娜亲王,
プリンツ・ループレヒト,프린츠 루프레히트,ko-KR,ja-JP,499071,战巡,Battlecruiser,铁血,Iron Blood,,,鲁普雷希特亲王,蕾贝卡亲王,
ヘイゼルウッド,헤이즐우드,ko-KR,ja-JP,101341,驱逐,Destroyer,白鹰,Eagle Union,,,黑泽伍德,,
ヘスティア,헤스티아,ko-KR,ja-JP,11400011,维修,Repair,联动阵营,Collab,,,赫斯缇雅,,
ヘリング,헤링,ko-KR,ja-JP,108091,潜艇,Submarine,白鹰,Eagle Union,,,鲱鱼,,
ヘレナ,헬레나,ko-KR,ja-JP,102051,轻巡,Light Cruiser,白鹰,Eagle Union,,,海伦娜,,
ヘレナ(META),헬레나·META,ko-KR,ja-JP,9702011,轻巡,Light Cruiser,META,META,META,,海伦娜·META,,
ベアルン,베아른,ko-KR,ja-JP,807011,正航,Aircraft Carrier,自由鸢尾,Iris Libre,,,贝亚恩,,
ベアルン(META),베아른·META,ko-KR,ja-JP,9707041,正航,Aircraft Carrier,META,META,META,,贝亚恩·META,,
ベイリー,베일리,ko-KR,ja-JP,101271,驱逐,Destroyer,白鹰,Eagle Union,,,贝利,,
ベル,벨,ko-KR,ja-JP,101521,驱逐,Destroyer,白鹰,Eagle Union,,,贝尔,,
ベルちゃん,꼬마 벨파스트,ko-KR,ja-JP,202181,轻巡,Light Cruiser,皇家,Royal Navy,,,小贝法,,
ベルファスト,벨파스트,ko-KR,ja-JP,202121,轻巡,Light Cruiser,皇家,Royal Navy,,,贝尔法斯特,,
ベローナ,벨로나,ko-KR,ja-JP,202311,轻巡,Light Cruiser,皇家,Royal Navy,,,司战女神,,
ベンソン,벤슨,ko-KR,ja-JP,101161,驱逐,Destroyer,白鹰,Eagle Union,,,本森,,
ベール,벨,ko-KR,ja-JP,900077,正航,Aircraft Carrier,联动阵营,Collab,,,贝露,,
ペネロピ,페넬로피,ko-KR,ja-JP,202291,轻巡,Light Cruiser,皇家,Royal Navy,,,佩内洛珀,,
ペンサコーラ,펜사콜라,ko-KR,ja-JP,103011,重巡,Heavy Cruiser,白鹰,Eagle Union,,,彭萨科拉,,
ペンシルベニア,펜실베이니아,ko-KR,ja-JP,105031,战列,Battleship,白鹰,Eagle Union,,,宾夕法尼亚,,
ペーター・シュトラッサー,페터 슈트라서,ko-KR,ja-JP,407031,正航,Aircraft Carrier,铁血,Iron Blood,,,彼得·史特拉塞,佩特菈·斯坦贝瑟,
ホノルル,호놀룰루,ko-KR,ja-JP,102121,轻巡,Light Cruiser,白鹰,Eagle Union,,,火奴鲁鲁,,
ホビー,하비,ko-KR,ja-JP,101361,驱逐,Destroyer,白鹰,Eagle Union,,,霍比,,
ホワイトハート,화이트 하트,ko-KR,ja-JP,10100071,驱逐,Destroyer,联动阵营,Collab,,,群白之心,,
ホーネット,호넷,ko-KR,ja-JP,107071,正航,Aircraft Carrier,白鹰,Eagle Union,,,大黄蜂,,
ホーネット(META),호넷·META,ko-KR,ja-JP,9707061,正航,Aircraft Carrier,META,META,META,,大黄蜂·META,,
ホーネットⅡ,호넷Ⅱ,ko-KR,ja-JP,107121,正航,Aircraft Carrier,白鹰,Eagle Union,II型,,大黄蜂II,,
ボア・ベロー,부아 벨루,ko-KR,ja-JP,806011,轻航,Light Carrier,自由鸢尾,Iris Libre,,,贝劳森林,,
ボイシ,보이시,ko-KR,ja-JP,102291,轻巡,Light Cruiser,白鹰,Eagle Union,,,博伊西,树城,
ボイシ(META),보이시·META,ko-KR,ja-JP,9702081,轻巡,Light Cruiser,META,META,META,,博伊西·META,树城·META,
ボイシ(μ兵装),보이시(μ장비),ko-KR,ja-JP,102321,轻巡,Light Cruiser,白鹰,Eagle Union,μ兵装,,博伊西(μ兵装),树城(μ兵装),
ボガトィーリ,바가티르,ko-KR,ja-JP,702101,轻巡,Light Cruiser,北方联合,Northern Parliament,,,博加特里,,
ボルチモア,볼티모어,ko-KR,ja-JP,103161,重巡,Heavy Cruiser,白鹰,Eagle Union,,,巴尔的摩,,
ボルチモア(μ兵装),볼티모어(μ장비),ko-KR,ja-JP,103251,重巡,Heavy Cruiser,白鹰,Eagle Union,μ兵装,,巴尔的摩(μ兵装),,
ボルツァーノ,볼차노,ko-KR,ja-JP,603051,重巡,Heavy Cruiser,撒丁帝国,Sardegna Empire,,,博尔扎诺,,
ボーグ,보그,ko-KR,ja-JP,106021,轻航,Light Carrier,白鹰,Eagle Union,,,博格,,
ポルタヴァ,폴타바,ko-KR,ja-JP,705081,战列,Battleship,北方联合,Northern Parliament,,,波尔塔瓦,,
ポンペオ・マーニョ,폼페오 마뇨,ko-KR,ja-JP,601071,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,庞培·马格诺,,
ポーツマウス・アドベンチャー,포츠머스 어드벤처,ko-KR,ja-JP,900466,风帆,Sailing Frigate,飓风船团,Tempesta,,,朴茨茅斯冒险号,,
ポートランド,포틀랜드,ko-KR,ja-JP,103061,重巡,Heavy Cruiser,白鹰,Eagle Union,,,波特兰,,
ポーラ,폴라,ko-KR,ja-JP,603031,重巡,Heavy Cruiser,撒丁帝国,Sardegna Empire,,,波拉,,
マイレ・ブレゼ,마이예 브레제,ko-KR,ja-JP,801081,驱逐,Destroyer,自由鸢尾,Iris Libre,,,马耶·布雷泽,,
マインツ,마인츠,ko-KR,ja-JP,499031,轻巡,Light Cruiser,铁血,Iron Blood,,,美因茨,米兹,
マエストラーレ,마에스트라레,ko-KR,ja-JP,601041,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,西北风,,
マクデブルク,마그데부르크,ko-KR,ja-JP,402061,轻巡,Light Cruiser,铁血,Iron Blood,,,马格德堡,马格达莱娜,
マサチューセッツ,매사추세츠,ko-KR,ja-JP,105191,战列,Battleship,白鹰,Eagle Union,,,马萨诸塞,,
マスケティーア,머스킷티어,ko-KR,ja-JP,201271,驱逐,Destroyer,皇家,Royal Navy,,,火枪手,,
マッコール,맥콜,ko-KR,ja-JP,101071,驱逐,Destroyer,白鹰,Eagle Union,,,麦考尔,,
マッジョーレ・バラッカ,마조레 바라카,ko-KR,ja-JP,608031,潜艇,Submarine,撒丁帝国,Sardegna Empire,,,巴拉卡少校,,
マッセナ,마세나,ko-KR,ja-JP,804011,战巡,Battlecruiser,自由鸢尾,Iris Libre,,,马塞纳,,
マッチレス,매치리스,ko-KR,ja-JP,201261,驱逐,Destroyer,皇家,Royal Navy,,,无敌,,
マラニー,멀라니,ko-KR,ja-JP,101391,驱逐,Destroyer,白鹰,Eagle Union,,,马拉尼,,
マリー・ローズ,마리 로즈,ko-KR,ja-JP,10600011,驱逐,Destroyer,联动阵营,Collab,,,玛莉萝丝,,
マルコ・ポーロ,마르코 폴로,ko-KR,ja-JP,699011,战列,Battleship,撒丁帝国,Sardegna Empire,,,马可波罗,,
マルセイエーズ,마르세예즈,ko-KR,ja-JP,902021,轻巡,Light Cruiser,维希教廷,Vichya Dominion,,,马赛曲,,
マンチェスター,맨체스터,ko-KR,ja-JP,202091,轻巡,Light Cruiser,皇家,Royal Navy,,,曼彻斯特,,
マーブルヘッド,마블헤드,ko-KR,ja-JP,102271,轻巡,Light Cruiser,白鹰,Eagle Union,,,马布尔黑德,,
ミネアポリス,미니애폴리스,ko-KR,ja-JP,103131,重巡,Heavy Cruiser,白鹰,Eagle Union,,,明尼阿波利斯,,
ミラー,밀러,ko-KR,ja-JP,101531,驱逐,Destroyer,白鹰,Eagle Union,,,米勒,,
ミンスク,민스크,ko-KR,ja-JP,701031,驱逐,Destroyer,北方联合,Northern Parliament,,,明斯克,,
ムジナ,무지나,ko-KR,ja-JP,10800071,战列,Battleship,联动阵营,Collab,,,貉,,
ムルマンスク,무르만스크,ko-KR,ja-JP,702061,轻巡,Light Cruiser,北方联合,Northern Parliament,,,摩尔曼斯克,,
メアリー・セレスト,메리 셀러스트,ko-KR,ja-JP,900462,风帆,Sailing Frigate,飓风船团,Tempesta,,,玛丽·西莱斯特号,,
メリーランド,메릴랜드,ko-KR,ja-JP,105101,战列,Battleship,白鹰,Eagle Union,,,马里兰,,
メンフィス,멤피스,ko-KR,ja-JP,102161,轻巡,Light Cruiser,白鹰,Eagle Union,,,孟菲斯,,
メンフィス(META),멤피스·META,ko-KR,ja-JP,900390,轻巡,Light Cruiser,META,META,META,,孟菲斯·META,,
メークレンブルク,메클렌부르크,ko-KR,ja-JP,499101,战列,Battleship,铁血,Iron Blood,,,梅克伦堡,梅克琳达,
モガドール,모가도르,ko-KR,ja-JP,900809,驱逐,Destroyer,维希教廷,Vichya Dominion,,,莫加多尔,,
モスクワ,모스크바,ko-KR,ja-JP,703031,重巡,Heavy Cruiser,北方联合,Northern Parliament,,,莫斯科,,
モナーク,모나크,ko-KR,ja-JP,299021,战列,Battleship,皇家,Royal Navy,,,君主,,
モニカ,모니카,ko-KR,ja-JP,10600071,轻巡,Light Cruiser,联动阵营,Collab,,,莫妮卡,,
モモ・ベリア・デビルーク,모모 베리아 데빌룩,ko-KR,ja-JP,900475,轻巡,Light Cruiser,联动阵营,Collab,,,梦梦·贝莉雅·戴比路克,,
モリソン,모리슨,ko-KR,ja-JP,101471,驱逐,Destroyer,白鹰,Eagle Union,,,莫里森,赛普拉斯,
モントピリア,몬트필리어,ko-KR,ja-JP,102141,轻巡,Light Cruiser,白鹰,Eagle Union,,,蒙彼利埃,,
モーリー,모리,ko-KR,ja-JP,101081,驱逐,Destroyer,白鹰,Eagle Union,,,莫里,,
ヤーデ,야드,ko-KR,ja-JP,406031,轻航,Light Carrier,铁血,Iron Blood,,,亚德,阿黛尔,
ユニコーン,유니콘,ko-KR,ja-JP,206031,轻航,Light Carrier,皇家,Royal Navy,,,独角兽,,
ヨルク,요르크,ko-KR,ja-JP,403111,重巡,Heavy Cruiser,铁血,Iron Blood,,,约克,伊冯娜,
ヨーク,요크,ko-KR,ja-JP,203071,重巡,Heavy Cruiser,皇家,Royal Navy,,,约克,伊冯娜,
ヨークタウン,요크타운,ko-KR,ja-JP,107051,正航,Aircraft Carrier,白鹰,Eagle Union,,,约克城,,
ヨークタウン(META),요크타운·META,ko-KR,ja-JP,9707081,正航,Aircraft Carrier,META,META,META,,约克城·META,,
ヨークタウンⅡ,요크타운Ⅱ,ko-KR,ja-JP,107101,正航,Aircraft Carrier,白鹰,Eagle Union,II型,,约克城II,,
ライオン,라이온,ko-KR,ja-JP,205161,战列,Battleship,皇家,Royal Navy,,,狮,,
ライザリン・シュタウト,라이잘린 스타우트,ko-KR,ja-JP,10900011,轻巡,Light Cruiser,联动阵营,Collab,,,莱莎琳·斯托特,,
ライプツィヒ,라이프치히,ko-KR,ja-JP,402041,轻巡,Light Cruiser,铁血,Iron Blood,,,莱比锡,莉普莎,
ライム,라임,ko-KR,ja-JP,9600131,风帆,Sailing Frigate,飓风船团,Tempesta,,,莱姆号,,
ラドフォード,래드포드,ko-KR,ja-JP,101291,驱逐,Destroyer,白鹰,Eagle Union,,,拉德福特,,
ラファエロ,라파엘로,ko-KR,ja-JP,605081,战列,Battleship,撒丁帝国,Sardegna Empire,,,拉斐尔,,
ラフィー,라피,ko-KR,ja-JP,101171,驱逐,Destroyer,白鹰,Eagle Union,,,拉菲,,
ラフィーⅡ,라피Ⅱ,ko-KR,ja-JP,101511,驱逐,Destroyer,白鹰,Eagle Union,II型,,拉菲II,,
ララ・サタリン・デビルーク,라라 사타린 데빌룩,ko-KR,ja-JP,900473,重巡,Heavy Cruiser,联动阵营,Collab,,,菈菈·撒塔琳·戴比路克,,
ラングレー,랭글리,ko-KR,ja-JP,107011,轻航,Light Carrier,白鹰,Eagle Union,,,兰利,,
ラングレーⅡ,랭글리Ⅱ,ko-KR,ja-JP,107271,轻航,Light Carrier,白鹰,Eagle Union,II型,,兰利II,,
ランドンターブル,랭동타블,ko-KR,ja-JP,901131,驱逐,Destroyer,维希教廷,Vichya Dominion,,,不屈,,
ラ・ガリソニエール,라 갈리소니에르,ko-KR,ja-JP,902011,轻巡,Light Cruiser,维希教廷,Vichya Dominion,,,拉·加利索尼埃,,
ラ・ガリソニエール(META),라 갈리소니에르·META,ko-KR,ja-JP,9702041,轻巡,Light Cruiser,META,META,META,,拉·加利索尼埃·META,,
リアンダー,리엔더,ko-KR,ja-JP,202011,轻巡,Light Cruiser,皇家,Royal Navy,,,利安得,,
リシュリュー,리슐리외,ko-KR,ja-JP,805011,战列,Battleship,自由鸢尾,Iris Libre,,,黎塞留,,
リッチモンド,리치몬드,ko-KR,ja-JP,102111,轻巡,Light Cruiser,白鹰,Eagle Union,,,里士满,,
リットリオ,리토리오,ko-KR,ja-JP,605021,战列,Battleship,撒丁帝国,Sardegna Empire,,,利托里奥,,
リトル・アンカレッジ,꼬마 앵커리지,ko-KR,ja-JP,103291,重巡,Heavy Cruiser,白鹰,Eagle Union,,,小安克雷奇,,
リトル・イラストリアス,꼬마 일러스트리어스,ko-KR,ja-JP,207091,正航,Aircraft Carrier,皇家,Royal Navy,,,小光辉,,
リトル・エンタープライズ,꼬마 엔터프라이즈,ko-KR,ja-JP,107991,正航,Aircraft Carrier,白鹰,Eagle Union,,,小企业,,
リトル・クリーブランド,꼬마 클리블랜드,ko-KR,ja-JP,102201,轻巡,Light Cruiser,白鹰,Eagle Union,,,小克利夫兰,,
リトル・サンディエゴ,꼬마 샌디에이고,ko-KR,ja-JP,102211,轻巡,Light Cruiser,白鹰,Eagle Union,,,小圣地亚哥,小圣戴安娜,
リトル・チェシャー,꼬마 체셔,ko-KR,ja-JP,203101,重巡,Heavy Cruiser,皇家,Royal Navy,,,小柴郡,,
リトル・フォーミダブル,꼬마 포미더블,ko-KR,ja-JP,207131,正航,Aircraft Carrier,皇家,Royal Navy,,,小可畏,,
リトル・ヘレナ,꼬마 헬레나,ko-KR,ja-JP,102191,轻巡,Light Cruiser,白鹰,Eagle Union,,,小海伦娜,,
リトル・レナウン,꼬마 리나운,ko-KR,ja-JP,204041,战巡,Battlecruiser,皇家,Royal Navy,,,小声望,,
リノ,리노,ko-KR,ja-JP,102261,轻巡,Light Cruiser,白鹰,Eagle Union,,,里诺,,
リベッチオ,리베치오,ko-KR,ja-JP,601051,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,西南风,,
リュッツォウ,뤼초,ko-KR,ja-JP,404041,战巡,Battlecruiser,铁血,Iron Blood,,,吕佐夫,露西,
リュー・リオン,류 리온,ko-KR,ja-JP,11400021,轻巡,Light Cruiser,联动阵营,Collab,,,琉·璃昂,,
リヨン,리옹,ko-KR,ja-JP,805021,战列,Battleship,自由鸢尾,Iris Libre,,,里昂,,
リラ・ディザイアス,릴라 디자이어스,ko-KR,ja-JP,10900041,重巡,Heavy Cruiser,联动阵营,Collab,,,莉拉·德西亚斯,,
リヴァプール,리버풀,ko-KR,ja-JP,202341,轻巡,Light Cruiser,皇家,Royal Navy,,,利物浦,,
リヴェンジ,리벤지,ko-KR,ja-JP,205111,战列,Battleship,皇家,Royal Navy,,,复仇,,
ルイビル,루이빌,ko-KR,ja-JP,103271,重巡,Heavy Cruiser,白鹰,Eagle Union,,,路易斯维尔,,
ルナ,루나,ko-KR,ja-JP,10600081,轻航,Light Carrier,联动阵营,Collab,,,露娜,,
ルピニャート,로피니아트르,ko-KR,ja-JP,801041,驱逐,Destroyer,自由鸢尾,Iris Libre,,,倔强,,
ルルティエ,루루티에,ko-KR,ja-JP,10300031,轻巡,Light Cruiser,联动阵营,Collab,,,露露缇耶,,
ル・アルディ,르 아르디,ko-KR,ja-JP,801051,驱逐,Destroyer,自由鸢尾,Iris Libre,,,大胆,,
ル・テメレール,르 테메레르,ko-KR,ja-JP,801031,驱逐,Destroyer,自由鸢尾,Iris Libre,,,鲁莽,,
ル・テメレール(μ兵装),르 테메레르(μ장비),ko-KR,ja-JP,801091,驱逐,Destroyer,自由鸢尾,Iris Libre,μ兵装,,鲁莽(μ兵装),,
ル・テリブル,르 테리블,ko-KR,ja-JP,801071,驱逐,Destroyer,自由鸢尾,Iris Libre,,,可怖,,
ル・トリオンファン,르 트리옹팡,ko-KR,ja-JP,801011,驱逐,Destroyer,自由鸢尾,Iris Libre,,,凯旋,,
ル・マラン,르 말랭,ko-KR,ja-JP,901111,驱逐,Destroyer,维希教廷,Vichya Dominion,,,恶毒,,
ル・マラン(μ兵装),르 말랭(μ장비),ko-KR,ja-JP,901121,驱逐,Destroyer,维希教廷,Vichya Dominion,μ兵装,,恶毒(μ兵装),,
ル・マルス,르 마르스,ko-KR,ja-JP,901011,驱逐,Destroyer,维希教廷,Vichya Dominion,,,勒马尔,,
レオナルド・ダ・ヴィンチ,레오나르도 다 빈치,ko-KR,ja-JP,608021,潜艇,Submarine,撒丁帝国,Sardegna Empire,,,莱昂纳多·达·芬奇,,
レキシントン,렉싱턴,ko-KR,ja-JP,107021,正航,Aircraft Carrier,白鹰,Eagle Union,,,列克星敦,,
レキシントンⅡ,렉싱턴Ⅱ,ko-KR,ja-JP,107161,正航,Aircraft Carrier,白鹰,Eagle Union,II型,,列克星敦II,,
レナウン,리나운,ko-KR,ja-JP,204011,战巡,Battlecruiser,皇家,Royal Navy,,,声望,,
レパルス,리펄스,ko-KR,ja-JP,204021,战巡,Battlecruiser,皇家,Royal Navy,,,反击,,
レンジャー,레인저,ko-KR,ja-JP,107041,轻航,Light Carrier,白鹰,Eagle Union,,,突击者,,
レーゲンスブルク,레겐스부르크,ko-KR,ja-JP,402101,轻巡,Light Cruiser,铁血,Iron Blood,,,雷根斯堡,瑞吉娜,
レーゲンスブルク(META),레겐스부르크·META,ko-KR,ja-JP,9702111,轻巡,Light Cruiser,META,META,META,,雷根斯堡·META,瑞吉娜·META,
ロイヤル・オーク,로열 오크,ko-KR,ja-JP,205141,战列,Battleship,皇家,Royal Navy,,,皇家橡树,,
ロイヤル・ジェームズ,로열 제임스,ko-KR,ja-JP,9600151,风帆,Sailing Frigate,飓风船团,Tempesta,,,皇家詹姆斯号,,
ロイヤル・フォーチュン,로열 포춘,ko-KR,ja-JP,900405,风帆,Sailing Frigate,飓风船团,Tempesta,,,皇家财富号,,
ロドニー,로드니,ko-KR,ja-JP,205041,战列,Battleship,皇家,Royal Navy,,,罗德尼,,
ロドニー(META),로드니·META,ko-KR,ja-JP,9705051,战列,Battleship,META,META,META,,罗德尼·META,,
ロング・アイランド,롱 아일랜드,ko-KR,ja-JP,106011,轻航,Light Carrier,白鹰,Eagle Union,,,长岛,,
ロンドン,런던,ko-KR,ja-JP,203011,重巡,Heavy Cruiser,皇家,Royal Navy,,,伦敦,,
ローグカイゼルグリッドマン,로그 카이젤 그리드맨,ko-KR,ja-JP,900808,轻巡,Light Cruiser,联动阵营,Collab,,,狂战帝王古立特,,
ローダシュー,로데슈,ko-KR,ja-JP,900444,驱逐,Destroyer,维希教廷,Vichya Dominion,,,果敢,,
ローマ,로마,ko-KR,ja-JP,605031,战列,Battleship,撒丁帝国,Sardegna Empire,,,罗马,,
ローリー,롤리,ko-KR,ja-JP,102021,轻巡,Light Cruiser,白鹰,Eagle Union,,,罗利,,
ローン,론,ko-KR,ja-JP,499011,重巡,Heavy Cruiser,铁血,Iron Blood,,,罗恩,艾伯塔,
